No,TEXT,True Label,Predicted Label
13,"<b><i>Tahun 2030</i></b> diprediksi oleh para ahli, kota Jakarta akan <b><i>tenggelam</i></b> , penyebabnya <b><i>permukaan tanah</i></b> di Jakarta <b><i>turun terus</i></b> setiap tahun <b><i>15 s/d 25 cm</i></b> , kemudian karena <b><i>&quot;pemanasan global&quot;</i></b> , permukaan <b><i>air laut</i></b> akan naik, banyak <b><i>kota-kota pantai</i></b> di dunia <b><i>terancam akan tenggelam</i></b> , karenanya....<br><br><b>10  ALASAN IBU KOTA  HARUS  SEGERA  PINDAH</b><br><br><b><i>Ibu Kota Negara</i></b> mulai sekarang secara jangka panjang <b><i>harus segera pindah</i></b>  ke Kalimantan, alasannya bukan hanya <b>banjir</b> dan <b>macet</b> , tapi  :<br><br>1.	Jakarta dan Jabodetabek dalam beberapa tahun kedepan sudah tidak akan mampu lagi menampung <b><i>urbanisasi</i></b> , menyebabkan <b><i>pemukiman liar</i></b> di bantaran-bantaran sungai dan jalur kereta api , termasuk problem penyebaran PKL yang makin sulit diatasi, organisasi-organisasi liar preman sebagai problem sosial makin merajalela karena sulitnya lapangan kerja. <br><br>2.	Jakarta sudah <b>kurang bergengsi</b> lagi sebagai ibu kota Negara, karena sejak jaman Belanda sudah <b><i>rawan banjir</i></b> dan <b><i>gempa bumi</i></b> , dan termasuk jalur bencana alam.  Jakarta  terletak di jalur  bencana  <b><i>“Cincin Api Pasifik“</i></b>  ( <i>”Pacific Ring of Fire”</i> ).<br><br>3.	DKI Jakarta  dari tahun ke tahun permukaan tanahnya turun <b><i>3 ~ 25  cm/tahun</i></b> , sehingga  kalau tidak ada Tindakan pencegahan memadai, pada <b><i>tahun  2050</i></b> , Jakarta diprediksi  oleh para akhli  akan <b><i>tenggelam</i></b> ,<br><br>4.	Kalau pemindahan ibu kota masih di P. Jawa, <b><i>kepadatan penduduk</i></b> di P. Jawa sudah <b><i>melebihi kewajaran</i></b>   (  <b>± 60%</b>  dari jumlah penduduk Indonesia), <br><br>5.	Jarak tempuh dengan pesawat terbang dari Jakarta ke Kalimantan Timur hanya <b><i>dua jam</i></b> saja.<br><br>6.	Kalau dibiarkan tidak dipindah, <b><i>lahan subur pesawahan</i></b>  di Jawa Barat akan segera habis, jadi <b><i>pemukiman</i></b>  dan <b><i>pabrik-pabrik</i></b> .<br><br>7.	Kalau mengkhawatirkan soal <b><i>biaya pemindahan</i></b> , sekarang saja <b><i>uang puluhan triliun</i></b>  hilang percuma setiap tahunnya, karena <b><i>kemacetan lalu lintas</i></b> di Jakarta yang menyebabkan <b><i>pemborosan subsidi konsumsi BBM</i></b> ..<br><br>8.	<b><i>Pemerataan keadilan pembangunan</i></b> , jangan hanya terpusat/memprioritaskan di Jakarta atau P. Jawa saja. <br><br>9.	Posisi P. Kalimantan ada <b><i>ditengah-tengah Nusantara</i></b> , mudah dijangkau,  sangat cocok sebagai ibu kota RI dan <b><i>relatif aman dari jalur bencana alam</i></b>  (tidak ada gunung berapi).<br><br>10.	Karyawan2 <b><i>PNS/ASN Pemerintahan Pusat</i></b> umumnya bertempat tinggal di <b><i>wilayah luar Jakarta</i></b> ,  jarak pulang-pergi ke kantor yang jauh, akan mengurangi <b><i>daya kinerja</i></b>  mereka….<br><br><b>KEMENTERIAN AGRARIA SEBUT HAMPIR 50 PERSEN  KAWASAN JAKARTA KUMUH</b>",1,1
14,"<b>Roby Muhamad: 3 ALASAN IBUKOTA HARUS PINDAH SEGER</b> (Filosofi Roby #4)<br>133,586 views   Sep 12, 2021<br><br>Ibukota RI mendesak harus pindah, demi  <b><i>generasi mendatang</i></b> , untuk pemerataan, dan juga membangun budaya baru.  Ada 3 Alasan Ibu Kota Harus Pindah Segera, sbb . :<br><br>1.	Jakarta sedang tenggelam, karena air laut naik disebabkan oleh pemanasan global.  Jakarta juga sudah telalu beban berat oleh kependudukan, infrastruktur sudah tidak memadai lagi, kemudian kebutuhan air bersih mulai bermasalah.<br>2.	Pemerataan ekonomi, ketimpangan ekonomi antara Jakarta &amp; Pulau Jawa dengan daerah2 lain sangat besar, semua urusan harus dikerjakan di Jakarta.<br>3.	Ibu Kota Baru membangun budaya baru, ibu kota yang sekarang adalah warisan Kolonial Belanda, dibangun untuk kepentingan Kolonial Belanda , bukan untuk rakyat Indonesia.",1,1
15,beda2 respon ya .<br>.tergabtung canel dan yang bawain narasi <br>.kalo kontra mengolok2 ikn kalau yg positif gini responnya banyak yang positif juga dan komentarnya juga obyektif jd tambah adem kritis dengan data dan tdk nyinyir 🙏🙏,1,1
16,"Pemikir bodoh yg mencari teman yg masih bodoh ber fikir.membangun memang buang uang,tapi ter lihat hasil nya,klo penghayal mau nya ber angan angan buat diri sendiri.",1,1
17,"KAMU BISA OMONG DAN ORG TERTARIK SEHG SUBSCRIBE. KAMU NGOMONG DLM LTR  BIDANG APA? KESAN UMUM, KAMU BISA RANGKAI KATA DAN SDT PANDANGNYA MEMBERI KESAN SGT RAPIH TAPI MELEBAR TDK MENDLM DARI SATU FOKUS SISTEMATIS. KALO KAMU BILANG IKN BISA JADI NEGARA LUAR ADMIT ITU RADA2 RAMALAN. ITU PEMBANGUNAN FISIK TANPA STUDI AMDAL DAN STUDI KELAYAKAN KAMU GAK TERPIKIR SAMPAI SITU. COBA KAMU JELASIN DARI RANCANGAN PEMERINTAH TUJUAN IKN DIBANGUN SCR TEFOKUS UTK APA. APA KAMU TAHU  ADA NGGAK MASALAH KEMANUSIAAN YG DILANGGAR DGN IKN DIBANGUN. COBA KAMU BUKA2 MEDSOS HAL APA SAJA YG DIPAKAI ALASAN ORG2 TDK SETUJU DAN SETUJU IKN DIBANGUN ......",1,1
18,"Renungan : Seandainya Jepang dan Jerman, warisan Pemimpin2nya bukan Motivasi, Kreatifitas, Disiplin, Malu, Semangat dan Kecerdasan, Tapi Berupa Infrastruktur dan Senjata saja, maka setelah Perang Dunia Kedua yg membuat mereka Hancur Porak Poranda, Pastilah mereka tidak akan pernah bisa Bangkit Maju Terkemuka lagi seperti saat ini. Bangunlah Jiwanya jauh lebih penting daripada Bangun Badannya....🙏",1,0
19,"bang lu enak orang kaya, ngomong fafifu wasweswos juga besok bisa makan pizza sambil AC an, lu mikir napa orang miskin dan badut itu makin banyak!! lu mikir gaaak!!!",1,1
20,Kantor   saja hrs pindah ...buang2 duit g penting...<br>Negara eropa   kantor nya biasa2 sj u pemimpinnya...,1,1
21,"Sekarang aja ikn dan amburadul, contoh simple klo ikn baik dan bagus kenapa bos  dan wakil pojek ikn berhenti,, padahal mereka pakarnya,,, salam berfikir,,",0,0
22,"Contoh kita lihat dari tengga sebelah malaysia google,apple,tesla...kita jauh dari investor asing semua lari ke malaysia karna mereka lebih siap.....pemerintahan kita KKN wong presiden skrg aja KKN anaknya sama presiden yg terbaru  geopolitik kita amburadul ga bisa di percaya korupsi meraja lela gitu investor asing mau masukk mustahail wkkwkw benerin demokrasi dulu baru investor asing mau masuk dna percaya investasi di indonesia miriss",1,1
23,Buktinya investor asing masih belom ada yang tertarik ...katanya nunggu project ring 1 selesai baru ring 2 investor asing masuk..ya kita lihat aja ya .seberapa kuat nanti ikn dan bisa berdiri....okee aplagi jangan sampai membebani apbn dan penggunaan berlebih dari awal anggaran penggunaan,0,0
24,Setakat ini IKN cuma utk membina Istana Presiden sahaja. Belum tenampak kehadirannya untuk membangunkan ekonomi warga Kalimantan.,1,1
25,Serius la terlalu ambitious lihat kawasan sekitar?? Ada rumah?? Ada transport?? Ada air?? Ada manusia?? Macam mana nak invest?? Mati,0,0
26,"Project kedzaliman.. <br>Yg bengis tanpa peduli hak2 rakyat disana, pengrusakan alam dsb.",0,0
27,"Lo kata negara lo gak benci negara lain. Hari2 mau ganyang Malaysia ito gak benci, dong?! hari2 lo ponya marhaen mau claim ito claim ini dr Malaysia! Hr2 org lo mau bandingin sama Malaysia dlm semua hal! Sok-sok tau aja lo.🤣",1,1
28,kita sebagai warga negara  seharusnya mendukung penuh tentang pembangunan bangsa ini  tak peduli siapa presiden nya.,0,0
29,IKN bagus cuma orangnya ikn(ibu korap nepotisme),1,1
30,Bagus ini yang di namakan ekonomi Indonesia mendunia akan menguasai bahasa Indonesia ekonomi ketahanan keamanan negara dan ber agama yang berlandaskan Pancasila perdamaian dunia ikn Nusantara Indonesia maju lanjutkan terimakasih Pak Jokowi saya sebagai rakyat kecil mendukung salam,0,1
31,Orang Genius Seperti Jokowi Biasanya lebih Optimis dari pada yg iri dan Bloon pendapatnya pikiran orang2 Recehan g akan maju..,1,1
32,saya suka ikn  itu dilanjutkan  berapapun anggaranya  Jokowi itu betul2 membangun bangsa ini. Tak seperti pemimpin yg sudah lewat sebelum  pak Jokowi ngeluar duit begitu banyak tapi enta kemana .cuma aku sesali di pilpres x ini sangat mengecewakan   karena telah melanggar UU persaratan batas usia dari SE org calon minimal 40 THN  .cuma itu,1,1
33,Cerita DKI bakal terulang (betawi)<br>Tinggal nama.,1,1
34,"Program ngoyo woro .<br>Preeeet ,kampreeet .",0,0
35,"Wah kok saya malah positif ya ketika denger istilah influencer cair. Coz cair itu bisa masuk ke semua sisi, bahkan sudut-sudut yang tidak terjangkau sekalipun. Ini mirip lagu Gajah nya Tulus, doa, so in the future, yang padat dan gas bisa bertemu di persenyawaan cair Raymond Chin. Setiap orang berhak berpendapat. Setiap orang berhak untuk mengungkapkan ketidaksetujuannya maupun kesamaan pandangannya. Dengan adanya opini dan pandangan beragam, pengambilan keputusan akan lebih mudah dan akurat karena Risks &amp; Benefits sudah secara gamblang tergelar di meja pengambilan keputusan.<br><br>So.., terus berkarya, terus berproses kritis, karena silang pendapat dan pandangan yang beragam adalah rahmat, sehingga kita bisa tetap maju tanpa terlena dengan kemajuan itu sendiri.",0,0
36,You good IQ.,1,1
37,Tidak sesederhana  itu bong..menyamakan RI dgn brasil..ujug2 akan terjadi pemerataan....dinamika negara kepulauan  akan berbeda dgn daratan penuh...,1,1
38,"Maaf ini pandangan saya , Indonesia sebenar nya perlu menaikan taraf kehidupan rakyat nya yg dibawah paras kemiskinan terlalu jauh jarak perbezaan antara yg kaya dgn yg miskin , dan rakyat yg berada di antara kaya dan yg miskin the middle class sngat sedikit ,lain dgn kami di Malaysia , di Malaysia golongan middle class ( kelas pertengahan ) yg paling ramai , di Malaysia juga golongan yg berpendapatan 3000 ringgit setara dgn 10 juta rupiah di kategori kan sebagai kurang mampu B40 dan mereka ini lah yg mendapat bantuan kerajaan",1,1
39,"Biar usaha BUMN dan UKM Hasil usaha nya  kecil, dan yang paling penting sebagian besar dana usaha negara, tidak di korupsi oleh penjabat negara di tahun selanjutnya.<br><br>Kalau sebagai besar dana usaha negara yang dihasilkan digunakan untuk membangun ibu kota negara baru bagus saja dari pada dana disimpan di lembaga keuangan yang kemungkinan besar bisa di korupsi.<br><br>Berpikir positif sedikit lah bang !!!",0,0
40,Yang pada komen dukung IKN ini orang orang munafik. Mereka juga gak mau kalo disuruh pindah ke IKN. Tapi ini membuktikan bahwa Indonesia ini kebanyakan orang munafik nya. Makanya udah 10 tahun dipimpin boneka asing,0,0
41,"2045 preet ah Indonesia emas. Liat kondisi ekonomi merosot, pendidikan semakin mahal, pengangguran nambah banyak. Apanya yg dibanggakan ????",0,1
42,IKN hanya bualan dipaksakan jd mega proyek. Tanpa investor,0,0
43,"MENTAL KORUPSI PEGAWAI AKAN MUSNAH DENGAN REVOLUSI SAINS!<br><br>Mengapa semakin banyak pejabat di Dunia lulusan universitas tinggi Eropa malah semakin berani dan semakin banyak yang korupsi? Mayoritas penyebabnya karena mereka percaya &quot;black hole&quot; - yang berisi hologram. Kemudian hologram tersebut diklaim dapat diatur oleh kuantum komputer buatan Eropa, sementara sebuah  &quot;black hole&quot; dapat membentuk Alam Semesta baru dengan sendirinya - tanpa adanya peran Sang Pencipta(teori bayi galaksi), sehingga muncullah paham atheisme terselubung(Islam KTP). <br>Solusi? Musnahkan sains atheisme Eropa dan menggantinya dengan sains basis IPTEK yang IMTAQ! Dengan demikian, pejabat/pegawai akan lebih tinggi ESQnya.<br>Bukan hanya itu, dengan musnahnya brand ilmuwan Eropa maka rakyat Jawa akan bisa mengendalikan aliran dana teknologi global(&gt;20.000 triliun rupiah) untuk dapat membebaskan tanah Eropa sekaligus balas menjarah Belanda.",1,1
44,"Biarkan mereka komentar yang NEGATIF, toh pada akhirnya mereka akan menikmati minimal anak cucunya, sebenarnya mereka punya penyakit penyakitnya adalah penyakit HATI.",1,1
45,Hutang negara.<br>SDA yg luar biasa tapi hutang juga yg makin gl..,0,0
46,<b>Pokoke juuoosss lah👍🏿👍🏿 Indonesia emas.. muga² ora ng pegadaian terus emasé🤭🤭😁👍🏿💪🏿🇮🇩</b>,0,0
47,454 triliun 254(pembangunan)  200 triliun seperti biasa (korupsi) 😂😂😂😂,1,1
48,Banyak hutang siapo nak bayarnya 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,0
49,1.ikn tu kurg sesuai lokasinya .byk buruk dari baik@2 .develove x seimbang .sepelekan rakyat byk terutama pendidikan.tq,0,0
50,"Kalau tanya buat apa, itu namanya pertanyaan naif, kalau tidak bisa dibilang bodoh.......",1,1
51,"Logika basic dan sederhana adalah jika kita mau punya rumah baru pastikan ada uang utk membelinya jika tidak pakai rumah yg ada dulu drpd berhutang membebani keuangan kita. Jangan besar pasak drpd tiang, skrg baru terasa kan... semua naik dari pajak, bahan pokok sampai biaya sekolah. Itulah akibat dari perencanaan yg buruk, ambisi yg tidak diikuti kemampuan dan ajang korupsi serta bagi2 project",0,0
52,point utama nya untuk kestabilan ekonomi dan politik....,0,1
53,Setelah bertahun tahun hanya segini kemajuannya 😂😂. Pemerintah maukan 80% kos dibiayai investor tp insentifnya gak menarik. Karna inilah softbank &amp; pak arab gak mau maju,0,0
54,"Tolong dong update mond, siapa skrg investor2 yg kata lu rebutan investasi di ikn?",1,1
55,Indo. Hanya cari nama  tampa .belajar janyabids menujuk keburukan indo.mpsju,0,1
56,"muggkin jakarta sudah padat merayap ,polusi ,kemacetan belum lagi sebentar lagi jakarta akan tegelam .yg istimewa nya pembangunan sudah merata dari Sabang sampai marouke semasa Jokowi terutama Indonesia bagian tengah dan timur.",0,0
57,"Sumpah sbnrnya ga ada sedikitpun yg membanggakan dr indonesia..<br>Ketika lo blg Bali masih ada maldives..<br>Lo blg kemerdekaanya, lah kita merdeka bayar njir, Vietnam jg jauh lbh hebat dr kita, faktanya bambu ga akan bisa ngalahin senpi..<br>Ketika lo blg bersuku dan berbangsa bangsa Amerika, Russia, Cina itu jg multietnis..<br>Lo blg luas, Russia, Amerika, Cina, Australia lbh luas,<br>Lo blg Hijau, paru² dunia, Brazil 100 kali lbh lebat hutanya dr kita.. <br>Lo blg tanahnya subur, halah basi 🤣🤣 percuma org rakyat kita ja pada ga mau jd petani",1,1
58,"Wkwk.. lu bilang jangan berifikir jakarta sentris..<br>Woy.. pake otak lu.. cara bangun ikn aja buak untuk pemerataan, tp ikn sentris.. artinya sama kek jakarta sentris.. bangke kan😂<br><br>500 T di tujukan dan terkonsentrasi di 1 wilayah lu.bilang pemerataaan ?<br><br>Woy baca aturan kepemilikan lahan disonk .. itu china2 bisa punya lahan 160 Tahun.. gila gak?<br><br>Kedaulatan apaan namanya tu",0,0
59,"in short lu perlu pride kan, Pride itu Ria, ngga perlu, cost vs benefit rendah,  kalau mau jangan bangga2an infrastruktur, tapi kompetitif di SDM dan produktifitas, kalaupun bangun infrastruktur yang produktif, Sekolah, Jalur kereta, Medical coverage, yang ada manfaatnya buat rakyat.",1,1
60,"Jokowi punya kecerdasan tinggi, dan bisa eksekusi proyek walau di caci maki sebagian rakyatnya sendiri",1,1
61,"Halo harvey, 271 T bisa dapat New IKN di Papua ?",0,0
62,"Menurut gue, <br>Untuk apa punya ibukota negara baru.<br>Tapi ekonomi bangkrut ...?",1,1
63,Uangnya mending di pakai buat jembatan selat sunda antara pulau sumatera dan pulau jawa..jauh lebih bermanfaar untuk kemajuan significant ekonomi,1,1
64,"IKN akan jadi Seperti Singapura tapi dalam skala besar ,karena transportasinya autonomous",1,1
65,Buang buang kalau menurut Saya karena produksinya apa nah gitu.  Ekspor import jando 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅dak laku broo jangan nafsu kuat tenaga kurang nah hasil negara&#39; Kita ni habis,0,0
66,Alhamdulillah capres 01 kalah jadi IKN bisa di lanjutkan proyek nya,1,0
67,"Kalau tdk setuju IKN pindah  dari Indonesia karna ini utk anak cucu kita kedepan nantinya lanjut jalan terus IKN , dilanjut oleh Pa Prabowo lebih baik lagi",0,0
68,Presiden selanjutnya tidak dilanjut IKN......ga nguntungin sy juga ....contoh yg kerja di kantor otorita IKN banyak dari jakarta.....sedikit org lokal kaltim kerja kantor otorita IKN itu dulu contoh kecilnya....balikpapan selaku kota penyangga IKN org balikpapan sedikit yg dilibatkn..... yg nulis ini org asli balikpapan kaltim.....apa adanya sy nulis kondisi terjadi......salam dari anak bppn kaltim,0,0
69,"Tiap orang memiliki persepsi masing&quot;  tapi tolong berfkirlah y positif dan maju.,<br>Indonesia itu terkaya di dunia.<br>  Cuma kita mau di bodoih ama negara&quot; miskin<br>Yg mikir gmana cranya agar rakyak makan .<br>La ahire mereka&quot; mbodoih indonesia.<br>Dg cra menakut&quot; imbargo.<br>Lah itulah cra negara&quot; yg sbnare mereka yg miskin.<br>Tolong teruskan IKAN,  nantii yg gak suka,baru tau minimat th2o35. Sudah klihtannnn.",0,0
70,"Indonesia yg tebaik didunia, dr kekayan hasil bumi dn budaya. Yg paling diakui Indonesia bisa menjaga toleransi dr berbagai Agama. Intinya IKN ADALAH TEMPAT PEMERSATUNYA DUKU BANGSA, DENGAN ICOND BARU. Smg aku jg bisa iberi peluang berinpestasi.",0,0
71,Wawasan masa depan...gimn klu memang dki nanti tenggelam...<br>Malu lg ibukota indonesia yg sdh besar ini<br>Banjiiiiiir mulu...maceeeeet,0,0
72,green city dan Pemerataan itu yang alasan kuat. Semoga terus eksekusi kuat. P_Gib pasti eksekusinya bagus,1,1
73,Salam pro IKN bro .walaupun gua orang Lampung.. suport cenel Lo..,0,0
74,Jelas dg adanya IKN negara JD aman mslh bahaya banjir kedepannya dan pusat ibukota JD megah dan aman 👍👍👍👍👍🙏,1,1
75,Mantap pak Jokowi presiden rakyat kecil tidak ada di seluruh dunia pak Jokowi dan keluarga sehat terus,1,1
76,"Smoga 25jt penduduk miskin Indonesia turut menjadi sejahtera dgn proyek2 ini, entah dgn cara apapun😊",1,1
77,Ini bukan buang2 duit di msa akan hasil nya akan berlipat kli ganda.,0,0
78,IKN jalan keluar agar Jakarta lbh natural ratio. <br><br>Dibutuhkan para semua asing majemuk disana invest . <br><br>Jika asing banyak invest maka akan lebih baik dan sesuai hatapan,0,0
79,Sy sdh punya opini: sy ga bisa percaya sm presiden yg <br>- menjadikan anak pertamanya jadi wapres.<br>- menjadikan anak keduanya jd ketua PSI (partai pendukung).<br>- menjadikan menantunya walikota Medan.,1,1
80,"Ikn itu pengganti jakarta, tahu gak? Jakarta itu akan tenggelam, ikn itulah pengganti nya jakarta.",0,0
81,Mending uang segitu untuk bangun industri manufaktur yg terbukti menyerap tenaga kerja dan membuat negara lain maju.,1,1
82,kalau nkri pengen maju semua  para ko ruptor tobat berbuat salah nkri miskipun ada ikn 1000 kalau si koruptor masih jln sy yakin gk bakalan berubah dr sebelumnya malah  lebih parah. nkri bisa maju kalau si koruptor lenyap dr bumi nkri.,0,0
83,LU PERNAH KE IKN..DAH LIHAT KONDISI KONTUR DISANA...RUWET BRO..NAIK TURUN NDAK JELAS...HARUSNYA BUKAN DISITU...DIPENAJAM LEBIH OK...LU LIHAT KULITNYA DOANG TRUS MENYIMPULKAN...LAGIAN ITU HUTAN APA KAITANNYA SAMA PRABOWO DAN LUHUT???,1,1
84,"CMIIW, baru nonton videonya nih karena ada tugas dari kampus. Yang gw liat, kalo ga mau jawa sentris dan melakukan pemerataan, alternatif bangun 40 kota metropolitan itu lebih masuk akal, kenapa?. Pertama, dengan pembangunan IKN malah akan mengakibatkan gentrifikasi di pulau kalimantan. Kedua, penyebab jakarta itu overcrowded adalah Jakarta menjadi tujuan utama seluruh warga yang ada di indonesia untuk mencari penghasilan. hal ini terjadi karena daerah mereka tidak mampu menyediakan lapangan pekerjaan dan pekerjaan yang layak untuk masyarakatnya sendiri, jadilah mereka merantau untuk mendapatkan kehidupan atau gaji yang lebih layak. Kalo lu cuma bandingin australia sama brazil berhasil karena mindahin ibukota, Australia dalam konteks ini sudah mampu menyediakan lapangan pekerjaan di masing2 statenya. Tiap state mampu meneyediakan kehidupan yang layak, bukan cuma sydney aja pada waktu itu. Sama satu lagi, mungkin gw mau tagih janji Jokowi ketika beliau mau nyapres, beliau bilang akan lebih gampang menyelesaikan masalah Jakarta jika jadi presiden, dan sampai saat ini, ga ada perubahan yang dilakukan pemerintah pusat pada Jakarta.",0,0
85,"Yg ngomong pembangunan di ikn buang2 uang, lebih baik habis uang banyak untuk pembangunan negara dari pada habis uang banyak dikorupsi segelintar orang untuk kepentingan pribadi, coba kl uang 271 triliun yg dikorupsi dibangunkan di ikn lbh berguna.",0,0
86,Knp duitnya gak dibagi2 bwt rakyat miskin aja? Knp cuman demi untuk kebanggaan aja,1,1
87,KL skrg buang kedepan tinggal  memetik hasil invest guysss,1,0
88,Yang penting kita optimis.jadi orang jangan pesimis.jangan kaya Rafli harun.Faizal basri.Rizal ramli.dan Amin Rais.yg selalu menyalahkan jokowi terus.dan selalu menjelekan jokowi dan apa yg di bangun jokowi  selalu fesimis.akan bangkrut lah.ekonomi akan ancur.kereta cepet ngga mungkin jadi lah.ngga balik modal lah dsb.kita sebagai Bangla Besar harus optimiis,1,1
89,Keadilan sosial bagi seluruh rakyat Indonesia ❤,0,0
90,IKN hanya mendorong keinginan meraih ambisi lebih baik duit ini buat kepentingan masa depan tidak tergantung hutang,1,1
91,Kalo 271 t itu gak di korup gak susah lagi cari pendanaan ya 😂😂😂,1,1
92,Hasil bumi kalimantan hasil nya tuk membangun jakarta ajeee..kapan juga kami di kalimantan ..lanjutkan..,0,1
93,Jujur gua ngk stuju sebab sumberdaya manusia Indonesia masih kalah sama Malaysia,1,1
94,Ibu kota jakarta macet tambah banjir jakarta tdk cocok untuk ibu kota negara Indonesia. Wajar Ibu kota negara di pindah kan ke kalimantan,0,0
95,"Ya, Indonesia dari Sabang sampai Merauke, not only java island.",0,0
96,"IKN dlm pembangunanannya emang dilema, tp ke depannya akan mercusuar dunia. Wallahu&#39;alam",0,0
97,Salah satu yang bikin kita bangga nantinya adalah kita punya istana negara buatan sendiri bukan istana peninggalan kolonial.,1,1
98,MERDEKA!!! IKN HARGA MATI,1,1
99,"Lo heboh amat si ,,indonesia pindah2 ibukotaa sudah gak aneh dari jaman dulu.<br>Pernah di jogjakarta ,bogor ,bandung <br>Mana lagi hayo...",1,0
100,TUJUAN IKN ITU UNTUK MEMUSNAHKAN POLA PIKIR JAWA SENTRIS.. INI NEGARA INDONESIA BUKAN NEGARA JAWA.. NAPA PULAU TIPIS MISKIN SDA BERASA YG PUNYA INDONESIA??,1,1
101,"Buat apa buang banyak uang buat dilirik negara lain, tapi sdm kita belum bisa dibanggain Bang, jadi kalau mau dilirik bukan bangunan yang dikenal seharusnya manusianya yg dikenal, seperti Soekarno, Ki Hajar Dewantara dan pemimpin Indonesia dulu",1,1
102,IKN dibuat dan Jokowi menawarkan WNA Singapure. Untuk menghuni dan berbisnis di ikn. Warga 200 JT banyak orang pinter tapi menawarkan WNA. Lo mana berani ngeritik,1,1
103,Pertanyaannya apakah dengan IKN apakah bahan sembako murah pak,0,0
104,Murah buat wilayah Timur Dan Perbatasan<br>Tapi tidak signifikan di Indonesia Tengah<br>Turunnya paling besar 35%,1,0
105,"Tapi  dari mn duitnya utang lg  dan msh banyak yg lebih penting daerah miskin yg perlu di bangun , pendidikan  lebih penting sekolah yg  kurang. Dan ikn  hanya tempat  korupsi pejabat dan  hutang",0,0
106,YANG NYINYIR DAN TAK SETUJU PEMBANGUAN IKN AGAR SEGERA MENYUSUL RIZAL RAMLI.,0,0
107,media australia : borneo is singapure not  indonesia,0,0
108,"maaf.. bang ,, jebolan almamater mana si  bang,.. kox pemikiran anda itu jenius banget.",0,0
109,"Menurutku kalau pembangunan IKN ini bisa buat maju Indonesia, karena secara tanpa sadar bisa mempengaruhi SDM juga bisa lebih baik atau maju pemikiran nya, tapi untuk penjelasan nya memang ga masuk akal karena bangunan megah yang bagus bagus kok bisa SDM malah jadi lebih baik, pasti orang-orang bertanya begitu.",0,0
110,"Saya bangga punya Raymond..<br>yang national thinking, reflect Indonesia gen muda masa depan.....bravo bung Ray...<br>Salam maju ....sehat selalu ...",0,0
111,IKN proyek masa depan...yg bilang buang2 uang itu bodoh...karna lambat laun jakarta akan tenggelam...,0,0
112,IKN... Membuat saya sebagai WNI.. Sangat bangga... Lanjut terus...,1,1
